Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,alpha,n,num_iter,singal,thr,bonf_ks,bonf_tpr,naive_ks,naive_tpr,oc_ks,oc_tpr,parametric_ks,parametric_tpr,permutation1_ks,permutation1_tpr,permutation2_ks,permutation2_tpr
2022-09-28 22:58:14,50.1min,6b533b0fdbdf4873adc5b089696cec0b,,LOCAL,experiment_one_reference/synthetic_tpr/tpr_ltm_oref.py,miwa.daiki,FINISHED,0.05,256,1000,4,0.0,0,0,0,1,4.146807562445838e-10,0.064,0,0.916,0,0.821,0,1
2022-09-28 22:57:01,50.4min,53123a1b9e6b48b9b0d6cf08ceaa11ef,,LOCAL,experiment_one_reference/synthetic_tpr/tpr_ltm_oref.py,miwa.daiki,FINISHED,0.05,256,1000,3,0.0,0,0,0,1,7.712211028954704e-7,0.074,0,0.851,0,0.774,0,1
2022-09-28 22:53:46,44.6min,b385d1c4641e4456abf4d40008417d93,,LOCAL,experiment_one_reference/synthetic_tpr/tpr_ltm_oref.py,miwa.daiki,FINISHED,0.05,256,1000,2,0.0,0,0,0,1,0.2872965339368212,0.052,0,0.735,2.873287138605515e-271,0.545,0,0.797
2022-09-28 22:51:16,43.6min,2c777bc5a0fd4656b42286e082730180,,LOCAL,experiment_one_reference/synthetic_tpr/tpr_ltm_oref.py,miwa.daiki,FINISHED,0.05,256,1000,1,0.0,0,0,0,0.991,0.7732661732182751,0.053,1.2303629075326e-81,0.262,0.000005554331526872034,0.032,1.9079833290389822e-91,0.007
